Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
Myo81F	373	279	263	185	254	240	
CR41571	2	1	2	1	1	0	
CR12798	0	0	0	0	0	0	
lncRNA:CR46123	1	1	0	0	4	0	
lncRNA:CR46122	0	2	0	1	3	0	
CR40182	1	1	3	0	4	0	
Pzl	2	0	1	0	2	0	
lncRNA:CR45220	0	0	0	0	0	0	
spok	4551	5056	3300	3289	4874	4069	
Parp	4562	4372	3364	2746	5241	4485	
Alg-2	3318	3400	2255	2028	3259	2998	
lncRNA:CR46141	0	0	0	1	0	0	
Tim17b	7442	7495	4990	4662	7667	6764	
CG41128	1056	1301	646	534	1031	868	
CG41099	7240	6996	5064	4470	7640	6356	
CG42402	960	711	630	739	861	710	
Gfat1	10820	11510	6973	6814	11420	10540	
lncRNA:CR41601	1	1	1	0	0	2	
CG40198	6	7	1	75	9	3	
CG12581	16501	16018	9615	9652	16109	15119	
CR33294	16	20	11	16	25	19	
Dsk	171	157	122	132	142	129	
beta-Man	7073	6815	4200	3934	6348	5838	
CG14636	146	428	181	280	344	101	
aux	4213	4640	2612	2932	4558	3954	
CG31516	23	33	13	13	24	24	
DhpD	2120	1962	1083	1344	1946	1739	
CG14641	4768	4921	2602	3168	4750	4260	
abs	2776	2645	1550	1677	2700	2394	
Gel	5482	6454	3532	4141	5995	6086	
asRNA:CR46255	29	41	25	4	7	5	
CG14642	106	139	48	79	143	124	
CG34305	205	353	55	176	288	103	
TwdlU	18	21	18	12	18	25	
TwdlF	2	2	3	0	1	6	
TwdlG	13	8	3	1	17	7	
CG14644	0	5	0	2	1	5	
TwdlV	39	21	21	57	128	129	
Or82a	2	1	7	2	3	6	
CG1092	339	357	216	265	500	291	
CG9766	9	18	16	34	36	48	
lncRNA:CR45597	7	2	6	4	14	6	
cpx	7787	7019	5490	5168	7863	6393	
CG9780	141	129	75	73	130	103	
mir-929	2	1	0	2	1	0	
Vps24	201	157	135	155	178	140	
MP1	0	0	0	0	0	0	
asRNA:CR46140	1	2	1	2	2	3	
Suv3	867	914	522	558	991	769	
Syt14	651	548	380	459	563	465	
CG9795	3137	3376	2001	2077	3195	2840	
CG9776	8016	7624	5079	5411	8179	7443	
Skp2	2123	1923	1202	1434	2099	1861	
CG14645	0	0	0	0	0	0	
CG1103	4220	4350	2442	2278	3859	3400	
hkb	90	70	34	62	99	71	
CG1090	514	410	328	406	531	475	
lncRNA:CR44922	41	20	41	109	171	155	
Sfxn1-3	1827	1958	1102	1151	1679	1494	
Cont	24503	24352	15403	15493	24471	22752	
tub	2957	2904	1783	1671	2664	2342	
CG14646	1893	1987	995	1360	2102	1760	
CG34112	36	56	21	20	36	37	
asRNA:CR46139	17	16	11	11	13	10	
asRNA:CR45999	10	6	4	8	21	13	
CG9855	467	372	264	250	388	344	
CG9853	2663	2412	1393	1728	2307	2182	
CG14647	1174	1180	710	702	1057	958	
lncRNA:CR45187	44	37	22	22	35	33	
lost	28288	28461	18346	16942	28749	25573	
CG32944	1063	901	582	898	1090	908	
CG31528	163	130	76	118	149	101	
srl	5541	5415	3588	3807	5688	5315	
CG31525	47	48	47	29	55	52	
eIF3a	28162	28714	17202	18018	27739	24789	
CG1074	115	108	64	90	128	109	
asRNA:CR46138	0	0	0	0	1	0	
CG9804	16	15	7	2	10	6	
asRNA:CR44134	0	0	0	0	0	0	
CG14650	7161	7172	4202	4838	7717	6855	
CG31522	3397	3654	1991	2220	3686	3234	
asRNA:CR43629	138	93	77	69	100	86	
CG31523	4950	5390	2809	3070	5139	4488	
CG14651	10	8	7	9	14	10	
Fip1	4754	5053	2713	3104	4881	4420	
CG34357	539	439	327	448	555	425	
CG34425	4	1	2	0	2	0	
lncRNA:CR31526	1	0	0	0	1	0	
Mur82C	1	1	1	0	0	0	
CG32945	0	0	0	0	0	0	
lncRNA:CR45558	0	2	2	0	1	1	
lncRNA:CR44317	22	12	8	14	14	2	
5-HT2A	114	98	60	74	108	88	
lncRNA:CR45673	0	3	1	1	4	1	
CG9775	9255	9373	5397	6204	9430	8648	
sisRNA:CR46358	0	0	0	0	0	0	
slx1	198	173	123	82	121	136	
MED31	2670	2538	1636	1751	2562	2413	
Dlip2	1114	1159	729	742	1112	1011	
rpk	103	114	80	73	166	88	
asRNA:CR44155	1	0	0	0	1	1	
Karybeta3	21962	20535	13054	13733	21255	19408	
spartin	289	318	208	316	515	468	
CG43427	7954	8744	4797	5371	8195	6898	
lncRNA:CR44156	3	2	0	1	1	0	
lncRNA:CR44157	0	1	0	0	0	1	
CG33927	0	0	1	0	0	1	
eIF3f1	16207	15453	8912	10661	15492	14176	
lncRNA:CR44923	19	22	7	13	15	17	
Nep2	6029	6553	2987	3479	5755	5427	
tacc	9608	10049	6640	6259	10608	9315	
asRNA:CR46137	16	13	6	9	13	16	
mir-9384	0	1	0	1	2	0	
atms	4719	4512	2692	3153	4505	4147	
CG44098	1102	1163	684	808	1191	739	
CG44088	1	3	0	3	0	0	
CG14655	57	41	31	27	52	37	
CG17387	40	47	23	8	21	18	
ctrip	30875	32980	18537	18527	29554	26321	
Hus1-like	379	401	187	278	365	336	
CG1129	2948	3186	1808	2045	3429	2835	
CG1126	9	12	4	9	15	9	
CG14657	4463	4678	2720	2534	4503	3960	
CG14658	1	8	3	2	2	3	
CG14659	0	0	0	0	1	0	
opa	1713	1770	1043	1130	1840	1593	
laf	0	0	0	0	0	1	
lncRNA:CR45580	0	2	1	0	0	0	
Gnf1	4730	4213	2841	3261	4918	4244	
Cdep	9561	9861	5697	6316	9984	8487	
lncRNA:CR45188	2	3	4	5	3	2	
snRNA:U1:82Eb	0	1	0	0	0	0	
Ubc6	5844	5805	3980	3834	6078	5155	
CG14661	6	20	29	2	30	10	
CG2016	1763	2521	569	936	1839	1044	
CG1124	381	328	211	344	434	331	
CG14662	12	16	10	4	11	4	
asRNA:CR43478	0	0	0	0	0	0	
lncRNA:CR43424	17	13	21	3	7	8	
plh	28	35	20	7	11	9	
lncRNA:CR45585	4	1	1	1	0	0	
lncRNA:CR46352	2	5	4	2	4	4	
lncRNA:CR43635	15	16	12	10	10	13	
lncRNA:CR45588	12	14	10	8	13	10	
corto	8644	8984	5113	5229	9245	7502	
CG43131	17	44	17	17	14	10	
CG12007	1234	1337	673	927	1364	1108	
CG12589	2	0	0	1	0	1	
dpr16	410	364	245	285	460	419	
CG12590	27	14	11	15	24	20	
cno	10587	10576	6172	7197	10981	9811	
snRNA:U4atac	1	0	0	1	0	0	
Prosbeta2R2	6	4	4	3	3	2	
CG1116	1537	1560	902	991	1560	1317	
CG2604	4055	3726	2333	2158	3184	2941	
CG14664	118	96	15	10	465	72	
Vps37B	2057	2119	1137	1353	2062	1879	
Kat60	4658	4734	2651	2936	4691	4357	
Mms19	2408	2379	1529	1624	2514	2165	
rtp	11	7	6	12	13	20	
CG12163	16879	17042	9832	10193	15198	14384	
CG33293	15	13	6	4	13	14	
asRNA:CR44019	17	20	6	7	14	16	
CG1113	45	42	23	15	49	51	
CG12173	1930	1720	989	1167	1739	1445	
Hph	2912	2814	1901	1912	2877	2674	
Tim17a2	5	8	4	8	3	5	
lncRNA:CR45793	11	11	6	7	4	4	
CR45033	0	0	0	0	0	0	
mtd	10243	9812	6933	6321	10094	8607	
CG31538	117	107	57	72	118	78	
Tim17b1	6	7	0	10	10	4	
CG11999	2402	2364	1149	1578	2221	2087	
CG1161	3906	4128	2245	2240	3557	3199	
Prosbeta7	10219	10350	5316	6722	10152	9140	
Cerk	2505	2529	1470	1652	2447	2296	
lncRNA:CR44103	0	0	0	3	0	2	
CG34277	0	0	0	0	0	0	
CG31542	0	0	0	0	0	0	
RpII18	3344	3062	1727	2071	2912	2753	
hd	817	706	400	502	756	678	
CG14667	878	797	486	540	750	815	
7B2	3303	2511	1726	2316	2644	2278	
kkv	13763	13526	8519	7603	12951	11831	
CG14668	19	19	18	12	36	23	
tRNA:Arg-TCG-4-1	4	4	1	5	8	11	
CG1172	1319	1416	768	843	1558	1263	
Or83a	0	0	0	0	0	0	
CG2663	798	1067	307	422	719	413	
Orco	13	11	3	18	18	9	
CG14669	1212	943	801	857	1053	892	
CG12147	0	2	1	2	1	0	
PEK	5444	5238	3239	3412	5713	4969	
RpL35A	42912	40113	24793	29128	41918	34744	
POLDIP2	1244	1157	727	815	1133	968	
mRpL44	1534	1494	901	1180	1635	1367	
Snr1	5671	5125	3006	3666	5040	4855	
CG45100	0	0	0	0	0	0	
HDAC3	0	0	0	0	0	0	
Hcs	1533	1376	922	950	1479	1333	
ksr	3180	3076	2010	1786	3015	2605	
CG31550	5709	5647	3169	3634	5743	5068	
NKCC	2589	2854	1758	2755	3136	2245	
Nmdar1	1081	808	589	673	900	779	
Itp-r83A	6113	6599	4288	3655	6998	6002	
CG43845	29	23	15	16	24	15	
CG2519	10713	10737	6837	6773	11443	10034	
mia	488	471	327	284	488	443	
