Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
Myo81F	373	279	263	314	272	274	202	
CR41571	2	1	2	2	0	1	0	
CR12798	0	0	0	0	0	0	0	
lncRNA:CR46123	1	1	0	0	0	0	1	
lncRNA:CR46122	0	2	0	1	0	2	0	
CR40182	1	1	3	3	2	0	1	
Pzl	2	0	1	1	0	1	1	
lncRNA:CR45220	0	0	0	0	0	0	0	
spok	4551	5056	3300	3878	3473	4200	4057	
Parp	4562	4372	3364	5446	4656	4987	4569	
Alg-2	3318	3400	2255	3583	3177	3705	3362	
lncRNA:CR46141	0	0	0	0	1	0	1	
Tim17b	7442	7495	4990	8514	7289	8403	7874	
CG41128	1056	1301	646	1336	1115	1034	895	
CG41099	7240	6996	5064	7820	6878	8310	7533	
CG42402	960	711	630	676	593	629	537	
Gfat1	10820	11510	6973	12849	10679	12836	10639	
lncRNA:CR41601	1	1	1	1	0	3	1	
CG40198	6	7	1	4	4	6	7	
CG12581	16501	16018	9615	17828	15156	17627	15196	
CR33294	16	20	11	19	19	18	19	
Dsk	171	157	122	161	155	186	168	
beta-Man	7073	6815	4200	7063	5995	7461	6339	
CG14636	146	428	181	500	276	339	320	
aux	4213	4640	2612	4847	3999	4885	3698	
CG31516	23	33	13	29	25	24	19	
DhpD	2120	1962	1083	2248	1869	2231	2009	
CG14641	4768	4921	2602	5208	4525	5396	4749	
abs	2776	2645	1550	2920	2534	2943	2355	
Gel	5482	6454	3532	6102	5283	5586	4788	
asRNA:CR46255	29	41	25	10	6	12	3	
CG14642	106	139	48	76	74	68	74	
CG34305	205	353	55	197	181	148	142	
TwdlU	18	21	18	8	16	7	7	
TwdlF	2	2	3	1	1	1	0	
TwdlG	13	8	3	4	8	4	3	
CG14644	0	5	0	3	2	5	0	
TwdlV	39	21	21	12	16	33	22	
Or82a	2	1	7	0	3	4	2	
CG1092	339	357	216	196	151	178	242	
CG9766	9	18	16	11	22	19	13	
lncRNA:CR45597	7	2	6	1	1	3	1	
cpx	7787	7019	5490	8637	7172	7004	5231	
CG9780	141	129	75	170	131	134	67	
mir-929	2	1	0	1	1	0	0	
Vps24	201	157	135	203	178	194	179	
MP1	0	0	0	0	0	0	0	
asRNA:CR46140	1	2	1	0	1	1	1	
Suv3	867	914	522	915	845	1000	854	
Syt14	651	548	380	600	508	569	490	
CG9795	3137	3376	2001	3458	3061	3504	2759	
CG9776	8016	7624	5079	8721	7585	8570	6775	
Skp2	2123	1923	1202	2133	1923	2206	1882	
CG14645	0	0	0	0	0	0	0	
CG1103	4220	4350	2442	4628	3896	4450	4005	
hkb	90	70	34	87	81	74	83	
CG1090	514	410	328	466	402	453	371	
lncRNA:CR44922	41	20	41	48	24	15	21	
Sfxn1-3	1827	1958	1102	1664	1478	1828	1621	
Cont	24503	24352	15403	26227	22572	27283	21668	
tub	2957	2904	1783	3208	2610	3026	2698	
CG14646	1893	1987	995	2187	1877	2280	1950	
CG34112	36	56	21	46	34	53	49	
asRNA:CR46139	17	16	11	22	13	25	18	
asRNA:CR45999	10	6	4	15	6	12	17	
CG9855	467	372	264	443	356	415	392	
CG9853	2663	2412	1393	2689	2367	2759	2651	
CG14647	1174	1180	710	1321	1127	1263	1180	
lncRNA:CR45187	44	37	22	53	42	29	42	
lost	28288	28461	18346	30442	25396	30847	26763	
CG32944	1063	901	582	1162	975	1051	789	
CG31528	163	130	76	191	154	141	126	
srl	5541	5415	3588	6118	5265	6433	5327	
CG31525	47	48	47	70	42	51	33	
eIF3a	28162	28714	17202	29991	25104	29667	23765	
CG1074	115	108	64	115	109	125	108	
asRNA:CR46138	0	0	0	0	0	0	0	
CG9804	16	15	7	2	3	7	6	
asRNA:CR44134	0	0	0	0	0	0	0	
CG14650	7161	7172	4202	7775	6697	7851	6215	
CG31522	3397	3654	1991	1467	1273	1566	1218	
asRNA:CR43629	138	93	77	48	40	71	38	
CG31523	4950	5390	2809	5615	4654	5493	4036	
CG14651	10	8	7	4	10	4	8	
Fip1	4754	5053	2713	5247	4580	5419	4706	
CG34357	539	439	327	561	426	433	348	
CG34425	4	1	2	0	1	0	0	
lncRNA:CR31526	1	0	0	0	0	0	0	
Mur82C	1	1	1	1	1	1	0	
CG32945	0	0	0	0	0	0	0	
lncRNA:CR45558	0	2	2	2	0	0	0	
lncRNA:CR44317	22	12	8	12	9	11	12	
5-HT2A	114	98	60	98	88	95	80	
lncRNA:CR45673	0	3	1	3	0	1	3	
CG9775	9255	9373	5397	10290	9014	10842	10021	
sisRNA:CR46358	0	0	0	0	0	0	0	
slx1	198	173	123	186	158	184	171	
MED31	2670	2538	1636	2797	2461	2894	2446	
Dlip2	1114	1159	729	1186	1053	1141	1007	
rpk	103	114	80	182	181	231	186	
asRNA:CR44155	1	0	0	0	0	1	3	
Karybeta3	21962	20535	13054	23853	20233	23040	19486	
spartin	289	318	208	535	497	474	467	
CG43427	7954	8744	4797	8947	7185	8651	6566	
lncRNA:CR44156	3	2	0	0	1	0	1	
lncRNA:CR44157	0	1	0	0	2	1	0	
CG33927	0	0	1	0	1	1	0	
eIF3f1	16207	15453	8912	16405	14296	16943	15429	
lncRNA:CR44923	19	22	7	17	14	32	22	
Nep2	6029	6553	2987	8087	6866	8542	6943	
tacc	9608	10049	6640	11376	9659	11467	8878	
asRNA:CR46137	16	13	6	19	14	14	11	
mir-9384	0	1	0	0	2	1	1	
atms	4719	4512	2692	5036	4529	5140	4570	
CG44098	1102	1163	684	878	689	643	524	
CG44088	1	3	0	1	0	3	1	
CG14655	57	41	31	55	46	49	56	
CG17387	40	47	23	38	18	45	24	
ctrip	30875	32980	18537	35328	29102	34670	25379	
Hus1-like	379	401	187	408	360	413	388	
CG1129	2948	3186	1808	3328	2829	3548	3030	
CG1126	9	12	4	15	4	9	11	
CG14657	4463	4678	2720	5139	4142	4773	4063	
CG14658	1	8	3	10	6	5	7	
CG14659	0	0	0	0	0	1	1	
opa	1713	1770	1043	2045	1680	2087	1443	
laf	0	0	0	2	2	1	0	
lncRNA:CR45580	0	2	1	0	0	1	1	
Gnf1	4730	4213	2841	4761	4376	4854	4197	
Cdep	9561	9861	5697	10204	8607	10037	7238	
lncRNA:CR45188	2	3	4	4	0	2	3	
snRNA:U1:82Eb	0	1	0	0	0	1	0	
Ubc6	5844	5805	3980	6564	5567	6347	5269	
CG14661	6	20	29	3	8	40	28	
CG2016	1763	2521	569	1920	1523	1863	1102	
CG1124	381	328	211	511	496	556	440	
CG14662	12	16	10	12	10	16	6	
asRNA:CR43478	0	0	0	0	0	0	0	
lncRNA:CR43424	17	13	21	25	16	15	7	
plh	28	35	20	32	23	21	27	
lncRNA:CR45585	4	1	1	1	1	3	1	
lncRNA:CR46352	2	5	4	1	3	1	0	
lncRNA:CR43635	15	16	12	10	10	16	12	
lncRNA:CR45588	12	14	10	16	14	13	10	
corto	8644	8984	5113	9662	8115	9618	7920	
CG43131	17	44	17	26	20	20	19	
CG12007	1234	1337	673	1329	1173	1444	1228	
CG12589	2	0	0	1	0	0	0	
dpr16	410	364	245	425	386	435	389	
CG12590	27	14	11	23	17	12	9	
cno	10587	10576	6172	11580	9547	11447	8447	
snRNA:U4atac	1	0	0	1	0	0	1	
Prosbeta2R2	6	4	4	6	5	7	8	
CG1116	1537	1560	902	1614	1446	1757	1514	
CG2604	4055	3726	2333	4098	3470	3977	3702	
CG14664	118	96	15	338	328	581	24	
Vps37B	2057	2119	1137	2252	1980	2488	2215	
Kat60	4658	4734	2651	5106	4234	5115	4067	
Mms19	2408	2379	1529	2710	2133	2518	2078	
rtp	11	7	6	15	16	16	18	
CG12163	16879	17042	9832	17327	14965	17939	15237	
CG33293	15	13	6	12	12	13	15	
asRNA:CR44019	17	20	6	27	19	23	8	
CG1113	45	42	23	65	64	75	35	
CG12173	1930	1720	989	1900	1694	2001	1927	
Hph	2912	2814	1901	2836	2440	2807	2280	
Tim17a2	5	8	4	8	5	3	2	
lncRNA:CR45793	11	11	6	5	3	8	7	
CR45033	0	0	0	0	0	0	0	
mtd	10243	9812	6933	10673	8938	10065	8237	
CG31538	117	107	57	131	107	113	76	
Tim17b1	6	7	0	8	6	7	4	
CG11999	2402	2364	1149	2430	2153	2501	2152	
CG1161	3906	4128	2245	4299	3839	4302	3717	
Prosbeta7	10219	10350	5316	11624	10042	11882	10778	
Cerk	2505	2529	1470	2365	2009	2212	2170	
lncRNA:CR44103	0	0	0	0	0	3	1	
CG34277	0	0	0	0	0	0	0	
CG31542	0	0	0	0	0	0	0	
RpII18	3344	3062	1727	3507	3109	3479	3140	
hd	817	706	400	717	662	739	709	
CG14667	878	797	486	824	805	883	777	
7B2	3303	2511	1726	2981	2825	2889	2675	
kkv	13763	13526	8519	14688	12532	15128	11632	
CG14668	19	19	18	21	28	19	12	
tRNA:Arg-TCG-4-1	4	4	1	5	3	5	2	
CG1172	1319	1416	768	1615	1266	1452	1223	
Or83a	0	0	0	0	0	0	0	
CG2663	798	1067	307	762	551	766	450	
Orco	13	11	3	8	13	13	12	
CG14669	1212	943	801	1082	895	936	732	
CG12147	0	2	1	1	1	0	1	
PEK	5444	5238	3239	5740	4980	6034	4693	
RpL35A	42912	40113	24793	44155	39385	41818	35696	
POLDIP2	1244	1157	727	1316	1052	1254	1045	
mRpL44	1534	1494	901	1689	1561	1697	1513	
Snr1	5671	5125	3006	5755	5208	5833	5303	
CG45100	0	0	0	0	0	0	0	
HDAC3	0	0	0	0	0	0	0	
Hcs	1533	1376	922	1589	1379	1550	1308	
ksr	3180	3076	2010	3206	2841	3320	2649	
CG31550	5709	5647	3169	5931	5114	6033	4736	
NKCC	2589	2854	1758	3049	2374	2772	2250	
Nmdar1	1081	808	589	933	755	839	685	
Itp-r83A	6113	6599	4288	7044	5871	6658	4745	
CG43845	29	23	15	27	19	21	15	
CG2519	10713	10737	6837	12082	9614	11016	8593	
mia	488	471	327	555	463	495	458	
Pcmt	3447	3075	1891	3322	3033	3393	3088	
Snm1	1022	1006	677	1095	971	1113	955	
Pi4KIIalpha	1979	2288	1321	2302	1833	2208	1777	
snoRNA:Pi4KIIalpha-a	3	4	1	6	2	4	2	
asRNA:CR46136	22	77	17	30	18	32	17	
CG14671	617	579	347	599	568	626	608	
CG12746	885	805	550	890	839	856	839	
CG2931	1798	1821	971	2017	1782	1975	1752	
Rheb	3097	3015	1881	3216	2853	3476	3126	
CRMP	5460	5600	2784	5246	4660	5150	4271	
CG2926	15018	15804	9399	17905	14436	17238	12406	
rev7	183	159	123	160	180	182	173	
noi	4569	4305	2611	5040	4299	4944	4531	
Vha26	10373	10883	6872	10860	9034	11431	10645	
kra	42921	43159	27158	47513	41515	51567	44339	
snoRNA:Psi28S-3385b	23	22	12	18	24	23	31	
snoRNA:Psi28S-3385a	13	10	8	20	18	13	22	
snoRNA:Psi28S-3091b	16	13	11	18	20	20	19	
snoRNA:Psi28S-3091a	16	17	5	15	17	10	18	
snoRNA:Psi28S-3571	16	19	11	16	17	21	13	
snoRNA:Psi28S-3186	19	21	16	23	20	30	33	
snoRNA:Psi28S-2442b	16	7	7	14	8	9	8	
snoRNA:Psi28S-2442a	8	13	3	19	6	6	7	
CG1427	2461	2366	1721	2440	2185	2556	2342	
asl	2861	2710	1858	3075	2702	3186	2740	
Rga	6021	6144	3641	7070	5693	6469	5246	
asRNA:ASTR	30	56	24	63	39	37	23	
sisRNA:1	0	0	0	0	0	0	0	
asRNA:CR46135	30	38	28	33	14	15	17	
Atu	0	0	0	0	0	0	0	
Spec2	974	959	629	1047	856	969	892	
CG2911	211	224	91	218	205	231	209	
RpL13A	89228	84532	46270	87841	78063	93955	85101	
snoRNA:Me28S-U2134b	2	3	4	12	5	6	3	
snoRNA:Me28S-U2134a	0	0	0	0	0	0	0	
CG31551	4	4	1	2	3	0	1	
CG31549	1844	1629	938	1772	1644	1877	1641	
